"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-10-31 04:00:00,0.093862,0.09465,0.093332,0.0937,552.97,2017-10-31 07:59:59,51.91861919,73,282.64,26.60543819,"NEOETH"
2017-10-31 08:00:00,0.094649,0.1071,0.0932,0.096989,10609.28,2017-10-31 11:59:59,1043.97212702,883,8007.03,792.74159325,"NEOETH"
2017-10-31 12:00:00,0.0965,0.096989,0.093442,0.094266,3131.26,2017-10-31 15:59:59,297.84468899,235,1348.51,128.04774812,"NEOETH"
2017-10-31 16:00:00,0.094266,0.09567,0.09321,0.09321,954.34,2017-10-31 19:59:59,89.93762406,104,277.35,26.42429687,"NEOETH"
2017-10-31 20:00:00,0.093213,0.094479,0.091,0.09101,2585.67,2017-10-31 23:59:59,238.50357046,195,231.25,21.56850365,"NEOETH"
2017-11-01 00:00:00,0.092223,0.094427,0.091015,0.091112,2372.24,2017-11-01 03:59:59,218.64675193,209,723.25,66.94955993,"NEOETH"
2017-11-01 04:00:00,0.091114,0.0915,0.088,0.0915,5254.66,2017-11-01 07:59:59,474.44305633,266,356.17,32.27819107,"NEOETH"
2017-11-01 08:00:00,0.091165,0.0953,0.0886,0.09299,4043.66,2017-11-01 11:59:59,365.58868955,268,746.34,68.71099717,"NEOETH"
2017-11-01 12:00:00,0.09299,0.092991,0.089,0.09067,1886.38,2017-11-01 15:59:59,170.95606341,201,277.29,25.22776311,"NEOETH"
2017-11-01 16:00:00,0.09067,0.0945,0.08937,0.091858,1243.56,2017-11-01 19:59:59,114.1403091,96,291.8,26.99300343,"NEOETH"
2017-11-01 20:00:00,0.091859,0.091865,0.08693,0.088,7071.88,2017-11-01 23:59:59,627.09725606,450,1276.88,113.76450316,"NEOETH"
2017-11-02 00:00:00,0.088007,0.094,0.08601,0.0868,3806.99,2017-11-02 03:59:59,335.22520164,251,717.27,64.12954453,"NEOETH"
2017-11-02 04:00:00,0.08685,0.092,0.082001,0.089383,10540.96,2017-11-02 07:59:59,913.18136265,1142,2986.78,263.34020799,"NEOETH"
2017-11-02 08:00:00,0.085297,0.092,0.085,0.086004,7530.28,2017-11-02 11:59:59,667.05799213,409,4223.96,378.70917749,"NEOETH"
2017-11-02 12:00:00,0.0862,0.092,0.0861,0.089511,4217.93,2017-11-02 15:59:59,375.23489444,257,1731.01,154.06785288,"NEOETH"
