"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-14 19:00:00,7.235e-05,0.004999,7.235e-05,0.0001208,626207,2017-11-14 22:59:59,74.38484688,909,289072,34.34739811,"ARNBTC"
2017-11-14 23:00:00,0.00012081,0.0001258,0.000104,0.0001097,435060,2017-11-15 02:59:59,49.90988748,672,129328,14.95450038,"ARNBTC"
2017-11-15 03:00:00,0.0001097,0.0001097,7.121e-05,7.2e-05,389865,2017-11-15 06:59:59,34.46412432,392,106489,9.61514571,"ARNBTC"
2017-11-15 07:00:00,7.303e-05,8.5e-05,7.105e-05,7.633e-05,136984,2017-11-15 10:59:59,10.64634982,190,44593,3.60923255,"ARNBTC"
2017-11-15 11:00:00,7.633e-05,9.5e-05,7.407e-05,8.8e-05,131563,2017-11-15 14:59:59,11.51840954,246,51724,4.52650437,"ARNBTC"
2017-11-15 15:00:00,8.99e-05,9.3e-05,7.401e-05,8.2e-05,148491,2017-11-15 18:59:59,12.05019309,190,38698,3.26813059,"ARNBTC"
2017-11-15 19:00:00,8.2e-05,8.599e-05,6.991e-05,7.601e-05,163406,2017-11-15 22:59:59,12.08353766,198,46109,3.40740486,"ARNBTC"
2017-11-15 23:00:00,7.599e-05,7.599e-05,6.914e-05,6.972e-05,194967,2017-11-16 02:59:59,13.9084538,213,48333,3.52306405,"ARNBTC"
2017-11-16 03:00:00,7e-05,7.5e-05,5.897e-05,6.338e-05,191403,2017-11-16 06:59:59,13.35712181,164,80813,5.83164476,"ARNBTC"
2017-11-16 07:00:00,6.699e-05,6.992e-05,6.199e-05,6.26e-05,171915,2017-11-16 10:59:59,11.06994695,168,68115,4.46596264,"ARNBTC"
2017-11-16 11:00:00,6.3e-05,6.847e-05,6.005e-05,6.516e-05,72255,2017-11-16 14:59:59,4.63864824,215,28505,1.8670354,"ARNBTC"
2017-11-16 15:00:00,6.52e-05,6.7e-05,4.516e-05,5.269e-05,147812,2017-11-16 18:59:59,8.53937313,154,29611,1.61413715,"ARNBTC"
2017-11-16 19:00:00,5.445e-05,5.663e-05,5.046e-05,5.469e-05,33951,2017-11-16 22:59:59,1.81605295,92,12738,0.69944433,"ARNBTC"
